species,region,hemilineage,cell_type_source,cell_type,neurotransmitter_verified_source,neurotransmitter_verified_evidence,neurotransmitter_verified_confidence,acetylcholine,glutamate,gaba,glycine,dopamine,serotonin,octopamine,tyramine,histamine,nitric_oxide
adult_drosophila_melanogaster,central_brain,putative_primary,,DNg28,Alekseyenko et al. 2010,immuno,5,0,0,0,0,0,1,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,LPsP,"Alekseyenko et al., 2013",immuno,5,0,0,0,0,1,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,CB.FB2E6,ASB,educated guess,0,0,1,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,LHp1,,CB1518,ASB,educated guess,0,0,1,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,FB2I,ASB,educated guess,0,0,1,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,LHl3,,LHAV2m1,ASB,educated guess,0,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON28,ASB,educated guess,0,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,VLPd&p1_dorsal,,PVLP008,ASB,educated guess,0,0,1,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,DPM,Aso et al. 2019,scRNA-seq,3,0,0,1,0,0,1,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCa'b'-ap1,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCa'b'-ap2,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCa'b'-m,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCab,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCab-c,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCab-m,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCab-p,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCab-s,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCapbp-ap1,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCapbp-ap2,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCapbp-m,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCg-d,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCg-m,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp4,,KCg-s1,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp4,,KCg-s2,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,MBp1,,KCg-s3,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON01,Aso et al. 2019,scRNA-seq,3,0,1,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON17,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON17-like,Aso et al. 2019,scRNA-seq,3,1,0,0,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,CREa1_dorsal,,PAM01,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,1
adult_drosophila_melanogaster,central_brain,CREa2_medial,,PAM02,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,CREa1_dorsal,,PAM05,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,1
adult_drosophila_melanogaster,central_brain,CREa1_dorsal,,PAM07,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,CREa1_dorsal,,PAM10,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,CREa1_dorsal,,PAM11,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,CREa2_medial,,PAM12,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,PPL101,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,1
adult_drosophila_melanogaster,central_brain,putative_primary,,PPL103,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,1
adult_drosophila_melanogaster,central_brain,putative_primary,,PPL105,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,PPL106,Aso et al. 2019,scRNA-seq,3,0,0,0,0,1,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,PPL203,Aso et al. 2019,scRNA-seq,3,0,0,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON01,"Aso et al., 2014",immuno,5,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON02,"Aso et al., 2014",immuno,5,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON03,"Aso et al., 2014",immuno,5,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON04,"Aso et al., 2014",immuno,5,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON05,"Aso et al., 2014",immuno,5,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON06,"Aso et al., 2014",immuno,5,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON07,"Aso et al., 2014",immuno,5,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON09,"Aso et al., 2014",immuno,5,-1,-1,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,EBa1,,MBON10,"Aso et al., 2014",immuno,5,-1,-1,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON11,"Aso et al., 2014",immuno,5,-1,-1,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,FLAa2,,MBON12,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,FLAa2,,MBON13,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,FLAa2,,MBON14,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON15,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON15-like,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON16,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON17,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON17-like,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON18,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON19,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON20,"Aso et al., 2014",immuno,5,-1,-1,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON33,"Aso et al., 2014",immuno,5,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,APL,"Aso et al., 2019",scRNA-seq,3,-1,-1,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON06,"Aso et al., 2019",scRNA-seq,3,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON07,"Aso et al., 2019",scRNA-seq,3,-1,1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,putative_primary,,MBON11,"Aso et al., 2019",scRNA-seq,3,-1,-1,1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,FLAa2,,MBON14,"Aso et al., 2019",scRNA-seq,3,1,-1,-1,0,0,0,0,0,0,0
adult_drosophila_melanogaster,central_brain,DL1_dorsal,,MBON16,"Aso et al., 2019",scRNA-seq,3,1,-1,-1,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,lch5-1 a1l,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,lch5-1 a1r,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,lch5-2/4 a1l,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,lch5-2/4 a1r,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,lch5-3 a1l,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,lch5-3 a1r,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,lch5-5 a1l,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,lch5-5 a1r,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,v'ch a1l,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,v'ch a1r,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,vchA/B a1l,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,vchA/B a1r,"Barnes et al. 2022, Jovanic et al. 2019, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,Griddle-1 t3l,"Barnes et al. 2022, Jovanic, Schneider-Mizell et al. 2016",0,4,0,0,1,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,Griddle-1 t3r,"Barnes et al. 2022, Jovanic, Schneider-Mizell et al. 2016",0,4,0,0,1,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,Ladder-f a2,"Barnes et al. 2022, Jovanic, Schneider-Mizell et al. 2016",0,2,0,0,1,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,Griddle-2 a1l,"Barnes et al. 2022, Mark et al. 2019, Valdes-Aleman et al. 2021, Jovanic, Schneider-Mizell et al. 2016",0,4,0,0,1,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,45a PN right,"Barnes et al. 2022, Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",0,4,1,0,0,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,Drunken-1 a1l,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Jovanic, Schneider-Mizell et al. 2016",0,4,0,0,1,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,Drunken-1 a1r,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Jovanic, Schneider-Mizell et al. 2016",0,4,0,0,1,0,0,0,0,0,0,0
larval_drosophila_melanogaster,cns,unpublished,,Griddle-1 a1r,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Jovanic, Schneider-Mizell et al. 2016",0,4,0,0,1,0,0,0,0,0,0,0
